Location_id,address_1,address_2,city,state,zip,county,location_source_value,latitude,longitude,address_type,state_abbr,flag
29591,2 John Brewers Bay,,Charlotte Amalie,VI,00802,,"2 JOHN BREWERS BAY, CHARLOTTE AMALIE, VI 00802",18.344193000000075,-64.97286599999995,Street Address,VI,SUCCESSFUL ADDRESS
32840,9Th Madalaii Hamlet,,Koror,PW,96940,,"9TH MADALAII HAMLET, KOROR, PW 96940",7.342913000000076,134.47404300000005,Street Address,PW,SUCCESSFUL ADDRESS
34146,316 Pennsylvania Avenue,, S.E., Of,20003,,"316 Pennsylvania Avenue, S.E., Washington, District Of Columbia 20003",38.886917,-77.001341,Street Address,Of,SUCCESSFUL ADDRESS
64733,101 Akari Building,,Saipan,MP,96950,,"101 AKARI BUILDING, SAIPAN, MP 96950",13.513895825722882,144.83730326292724,Street Address,MP,SUCCESSFUL ADDRESS
64734,1 Navy Hill Road,,Saipan,MP,96950,,"1 NAVY HILL ROAD, SAIPAN, MP 96950",15.192853216315733,145.71938090180495,Street Address,MP,SUCCESSFUL ADDRESS
70162,6179 Annas Hope,,Christiansted,VI,00820,,"6179 ANNAS HOPE, CHRISTIANSTED, VI 00820",17.727765695867483,-64.7242999369858,Street Address,VI,SUCCESSFUL ADDRESS
54850,1000 Greg Kruschek Ave,,Nome,AK,99762,,"1000 GREG KRUSCHEK AVE, NOME, AK 99762",64.49950291,-165.37840769,Street Address,AK,SUCCESSFUL ADDRESS
13026,435 Standish St,,Anchorage,AK,99504,,"435 STANDISH ST, ANCHORAGE, AK 99504",61.21808900011031,-149.72519399996315,Street Address,AK,SUCCESSFUL ADDRESS
88660,117 Village Rd,,Quinhagak,AK,99655,,"117 VILLAGE RD, QUINHAGAK, AK 99655",59.75107913799248,-161.89767018579454,Street Address,AK,SUCCESSFUL ADDRESS
92971,123 Red Cove Rd,,Sand Point,AK,99661,,"123 RED COVE RD, SAND POINT, AK 99661",55.35150840802858,-160.4758393359398,Street Address,AK,SUCCESSFUL ADDRESS
25210,3250 Tongass Blvd,,Juneau,AK,99801,,"3250 TONGASS BLVD, JUNEAU, AK 99801",58.379763999924,-134.57250600004713,Street Address,AK,SUCCESSFUL ADDRESS
74956,750 Saint Anns Ave,,Douglas,AK,99824,,"750 SAINT ANNS AVE, DOUGLAS, AK 99824",58.275321692788125,-134.39224875976507,Street Address,AK,SUCCESSFUL ADDRESS
95989,800 N Seward Meridian,,Wasilla,AK,99645,,"800 N SEWARD MERIDIAN, WASILLA, AK 99645",61.588157205978,-149.36231021193888,Street Address,AK,SUCCESSFUL ADDRESS
25240,1750 Omalley Rd,,Anchorage,AK,99507,,"1750 OMALLEY RD, ANCHORAGE, AK 99507",61.12304200012161,-149.84977099992224,Street Address,AK,SUCCESSFUL ADDRESS
25014,503 Kit Blvd,,North Pole,AK,99705,,"503 KIT BLVD, NORTH POLE, AK 99705",64.7500509999727,-147.34104700010968,Street Address,AK,SUCCESSFUL ADDRESS
98106,119 Village Rd,,Tuntutuliak,AK,99680,,"119 VILLAGE RD, TUNTUTULIAK, AK 99680",60.34269718312705,-162.66342343881925,Street Address,AK,SUCCESSFUL ADDRESS
54816,1032 Main Street South,,Wedowee,AL,36278,,"1032 MAIN STREET SOUTH, WEDOWEE, AL 36278",33.295332,-85.480689,Street Address,AL,SUCCESSFUL ADDRESS
54744,1736 East Main Street,,Dothan,AL,36301,,"1736 EAST MAIN STREET, DOTHAN, AL 36301",31.2179119100001,-85.3658126299999,Street Address,AL,SUCCESSFUL ADDRESS
54730,4385 Narrow Lane Road,,Montgomery,AL,36116,,"4385 NARROW LANE ROAD, MONTGOMERY, AL 36116",32.32346327,-86.28134483,Street Address,AL,SUCCESSFUL ADDRESS
